Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
343050,"14 de Marzo, Cerro",Pyroclastic cone of San Salvador,NULL,NULL,NULL
221170,Aabida,Synonym of Adwa,NULL,NULL,NULL
232010,Ab E Garm,Thermal of Damavand,NULL,NULL,NULL
264010,"Abang, Gunung",Stratovolcano of Batur,NULL,NULL,NULL
221290,Abaro,Cone of Corbetti Caldera,NULL,NULL,NULL
213010,Abas Tepe,Cone of Erciyes Dagi,NULL,NULL,NULL
390015,Abbott,Pyroclastic cone of Melbourne,NULL,NULL,NULL
390020,Abbott Peak,Cone of Erebus,NULL,NULL,NULL
383030,"Abejera, Montaña",Dome of Tenerife,NULL,NULL,NULL
383030,"Abeque, Montaña de",Pyroclastic cone of Tenerife,NULL,NULL,NULL
221170,Abida,Synonym of Adwa,NULL,NULL,NULL
222030,Abili Agituk,Synonym of Wargess,NULL,NULL,NULL
353070,Abingdon,Synonym of Pinta,NULL,NULL,NULL
257030,Aboa,Synonym of Ambae,NULL,NULL,NULL
225060,"Abour, Jebel El",Cone of Bayuda Volcanic Field,NULL,NULL,NULL
341094,"Abra, Cerro el","Synonym of Atlixcos, Los",NULL,NULL,NULL
383030,Abrunco,Dome of Tenerife,NULL,NULL,NULL
333050,Adams Seamount,Submarine,-25.37,-129.27,-39
221021,Abu Ail Island,Cone of Zukur,NULL,NULL,NULL
231071,"Abu Haris, Jabal","Dome of Kishb, Harrat",NULL,NULL,NULL
231060,"Abyad, Jabal","Dome of Khaybar, Harrat",NULL,NULL,NULL
300125,Academii Nauk,Synonym of Akademia Nauk,NULL,NULL,NULL
284160,Agrigan,Stratovolcano,18.77,145.67,965
341023,Acantilados Mayor,"Tuff cone of Isabel, Isla",NULL,NULL,NULL
341023,Acantilados Rabijuncos,"Tuff cone of Isabel, Isla",NULL,NULL,NULL
358062,Aguilera,Stratovolcano,-50.33,-73.75,2546
341095,"Acatlán, Cerro",Pyroclastic cone of Naolinco Volcanic Field,NULL,NULL,NULL
211010,Accademia,Dome of Campi Flegrei,NULL,NULL,NULL
354004,"Achacara, Loma",Pyroclastic cone of Andahua-Orcopampa,NULL,NULL,NULL
212050,Achelone,Vent of Nisyros,NULL,NULL,NULL
212050,Acheolus,Vent of Nisyros,NULL,NULL,NULL
357123,Achin-Niellu,Cone of Huanquihue Group,NULL,NULL,NULL
357123,Achin-Niellu,Synonym of Huanquihue Group,NULL,NULL,NULL
345050,Achiotillal,Stratovolcano of Barva,NULL,NULL,NULL
284020,Achi-yama,Dome of Niijima,NULL,NULL,NULL
300280,Achlan,Synonym of Ichinsky,NULL,NULL,NULL
213001,Acigol,Crater of Karapinar Field,NULL,NULL,NULL
284141,Ahyi,Submarine,20.42,145.03,-75
213004,Acigol-Neysehir,Synonym of Acigol-Nevsehir,NULL,NULL,NULL
360110,"Acouma, Morne","Dome of Plat Pays, Morne",NULL,NULL,NULL
284201,Acquarium,Thermal of East Diamante,NULL,NULL,NULL
211050,Acque Calde,Thermal of Vulcano,NULL,NULL,NULL
211071,Acropoli,Cone of Pantelleria,NULL,NULL,NULL
345020,Active Crater,Crater of Rincon de la Vieja,NULL,NULL,NULL
283069,Akandanayama,Stratovolcano,36.2,137.573,2109
300320,Akhtang,Shield,55.43,158.65,1956
213010,Adas Tepe,Synonym of Abas Tepe,NULL,NULL,NULL
283170,Adatara,Synonym of Adatarayama,NULL,NULL,NULL
284180,Alamagan,Stratovolcano,17.6,145.83,744
283170,Adatarayama,Dome of Adatarayama,NULL,NULL,NULL
212030,Adhamas,Thermal of Mílos,NULL,NULL,NULL
263270,Adika-wilis,Synonym of Wilis,NULL,NULL,NULL
221125,Ado Ale,Synonym of Assab Volcanic Field,NULL,NULL,NULL
264250,Ado Wadjung,Synonym of Ado Wajung,NULL,NULL,NULL
264250,Ado Wajung,Crater of Iliwerung,NULL,NULL,NULL
352031,Aliso,Stratovolcano,-0.53,-78,4267
261110,Aek Madurana,Thermal of Sibualbuali,NULL,NULL,NULL
261110,Aek Waliran,Thermal of Sibualbuali,NULL,NULL,NULL
